Q: 0,A: 1,M: 2
"Giảm trừ gia cảnh là gì và muốn đăng ký giảm trừ gia cảnh thì thủ tục, qui định như thế nào","Giảm trừ gia cảnh (GTGC) là số tiền được trừ vào thu nhập chịu thuế trước khi tính thuế đối với thu nhập từ kinh doanh, tiền lương, tiền công của đối tượng nộp thuế là cá nhân cư trú.
Muốn đăng ký GTGC Nhân viên liên hệ với PE phụ trách khu vực để được hướng dẫn cách đăng ký, các qui định và giấy tờ cần nộp về công ty để tính GTGC","**Q: Giảm trừ gia cảnh là gì và muốn đăng ký giảm trừ gia cảnh thì thủ tục, qui định như thế nào**A: Giảm trừ gia cảnh (GTGC) là số tiền được trừ vào thu nhập chịu thuế trước khi tính thuế đối với thu nhập từ kinh doanh, tiền lương, tiền công của đối tượng nộp thuế là cá nhân cư trú.
Muốn đăng ký GTGC Nhân viên liên hệ với PE phụ trách khu vực để được hướng dẫn cách đăng ký, các qui định và giấy tờ cần nộp về công ty để tính GTGC"
Tính sao ra được số tiền hoàn thuế TNCN ,"Tiền thuế TNCN được hoàn lại sẽ được tính theo công thức như sau:
'-Tiền thuế TNCN được hoàn lại (nộp thừa): Số tiền thuế TNCN đã nộp - số thuế TNCN phải nộp theo qui định quyết toán thuế 
'-Số thuế TNCN phải nộp theo qui định quyết toán thuế =(( tổng thu nhập chịu thuế - tổng các khoản giảm trừ)/12)* thuế suất theo biểu lũy tiến từng phần * 12 tháng.
Trong đó: 
Thu nhập chịu thuế được hiểu là tổng thu nhập từ tiền lương hay tiền công mà cá nhân nhận được từ ngày 01/01 đến 31/12 quyết toán
Các khoản giảm trừ bao gồm: Giảm trừ gia cảnh ( bản thân+ người phụ thuộc) + các khoản bảo hiểm bắt buộc, khuyến học, nhân đạo ...","**Q: Tính sao ra được số tiền hoàn thuế TNCN **A: Tiền thuế TNCN được hoàn lại sẽ được tính theo công thức như sau:
'-Tiền thuế TNCN được hoàn lại (nộp thừa): Số tiền thuế TNCN đã nộp - số thuế TNCN phải nộp theo qui định quyết toán thuế 
'-Số thuế TNCN phải nộp theo qui định quyết toán thuế =(( tổng thu nhập chịu thuế - tổng các khoản giảm trừ)/12)* thuế suất theo biểu lũy tiến từng phần * 12 tháng.
Trong đó: 
Thu nhập chịu thuế được hiểu là tổng thu nhập từ tiền lương hay tiền công mà cá nhân nhận được từ ngày 01/01 đến 31/12 quyết toán
Các khoản giảm trừ bao gồm: Giảm trừ gia cảnh ( bản thân+ người phụ thuộc) + các khoản bảo hiểm bắt buộc, khuyến học, nhân đạo ..."
"Khi xem phiếu lương, làm thế nào để tính được số thuế TNCN?","Cách tính thuế TNCN:
Thuế TNCN =Thu nhập tính thuế * thuế suất
Thu nhập tính thuế = thu nhập chịu thuế - các khoản giảm trừ
Thu nhập chịu thuế= Tổng thu nhập - các khoản được miễn thuế
","**Q: Khi xem phiếu lương, làm thế nào để tính được số thuế TNCN?**A: Cách tính thuế TNCN:
Thuế TNCN =Thu nhập tính thuế * thuế suất
Thu nhập tính thuế = thu nhập chịu thuế - các khoản giảm trừ
Thu nhập chịu thuế= Tổng thu nhập - các khoản được miễn thuế
"
"Nhân viên vào làm việc được ký HĐLĐ mấy lần, từ thời gian nào và những loại HĐLĐ nào?","Hiện tại NLĐ được ký HĐLĐ từ ngày nhận việc
Theo qui định của luật Lao động nhân viên sẽ ký HĐLĐ 3 lần
Lần 1: HĐLĐ xác định thời hạn  12 tháng
Lần 2: HĐLĐ xác định thời hạn ( 12 - 36 tháng tùy vào yêu cầu của TBP)
Lần 3: HĐLĐ không xác định thời hạn","**Q: Nhân viên vào làm việc được ký HĐLĐ mấy lần, từ thời gian nào và những loại HĐLĐ nào?**A: Hiện tại NLĐ được ký HĐLĐ từ ngày nhận việc
Theo qui định của luật Lao động nhân viên sẽ ký HĐLĐ 3 lần
Lần 1: HĐLĐ xác định thời hạn  12 tháng
Lần 2: HĐLĐ xác định thời hạn ( 12 - 36 tháng tùy vào yêu cầu của TBP)
Lần 3: HĐLĐ không xác định thời hạn"
Trình tự thủ tục khi xử ký kỷ luật nhân viên là như thế nào?,"Khi nhân viên vi phạm qui định của công ty
B1: Cảnh cáo bằng lời 
B2: Cảnh cáo bằng văn bản, có chữ ký xác nhận của nhân viên bị kỷ luật, Nhân sự, TBP, GDĐH, Công đoàn-> Hưởng 70% lương tháng 13
B3: Nếu tiếp tục vi phạm Nhân sự sẽ tiến hành họp hội đồng để đưa ra hướng giải quyết ","**Q: Trình tự thủ tục khi xử ký kỷ luật nhân viên là như thế nào?**A: Khi nhân viên vi phạm qui định của công ty
B1: Cảnh cáo bằng lời 
B2: Cảnh cáo bằng văn bản, có chữ ký xác nhận của nhân viên bị kỷ luật, Nhân sự, TBP, GDĐH, Công đoàn-> Hưởng 70% lương tháng 13
B3: Nếu tiếp tục vi phạm Nhân sự sẽ tiến hành họp hội đồng để đưa ra hướng giải quyết "
"Kiểm tra công không lên, hướng dẫn + xử lý chấm công. ","Chấm công không lên có thể do máy chấm công không nhận diện được, nhân viên quên chấm...Anh Chị vui lòng liên hệ PE phụ trách khu vực để được hướng dẫn và hỗ trợ Anh Chị","**Q: Kiểm tra công không lên, hướng dẫn + xử lý chấm công. **A: Chấm công không lên có thể do máy chấm công không nhận diện được, nhân viên quên chấm...Anh Chị vui lòng liên hệ PE phụ trách khu vực để được hướng dẫn và hỗ trợ Anh Chị"
Nhờ ủy quyền chấm công ,"Theo qui định LM sẽ thực hiện chấm công cho NV, trường hợp LM không thực hiện chấm công cho NV hàng tháng được sẽ ủy quyền cho nhân viên trong bộ phận thực hiện chấm công ","**Q: Nhờ ủy quyền chấm công **A: Theo qui định LM sẽ thực hiện chấm công cho NV, trường hợp LM không thực hiện chấm công cho NV hàng tháng được sẽ ủy quyền cho nhân viên trong bộ phận thực hiện chấm công "
Hướng dẫn chấm công cho nhân viên đối với Line ( đặc biệt đối với Line là sales) ,"Đối với sale sẽ được set công tự động, không chấm công bằng vân tay hoặc nhận diện khuôn mặt.LM vào kiểm công ( nếu nhân viên có xin nghỉ phép thì duyệt trên HCM) Và chốt công bằng cách double tick và chỗ LM ở bên trái màn hình","**Q: Hướng dẫn chấm công cho nhân viên đối với Line ( đặc biệt đối với Line là sales) **A: Đối với sale sẽ được set công tự động, không chấm công bằng vân tay hoặc nhận diện khuôn mặt.LM vào kiểm công ( nếu nhân viên có xin nghỉ phép thì duyệt trên HCM) Và chốt công bằng cách double tick và chỗ LM ở bên trái màn hình"
"Muốn đăng ký giảm trừ gia cảnh cho con, bố mẹ thì cần những thủ tục giấy tờ gì?",Liên hệ PE khu vực để được hỗ trợ,"**Q: Muốn đăng ký giảm trừ gia cảnh cho con, bố mẹ thì cần những thủ tục giấy tờ gì?**A: Liên hệ PE khu vực để được hỗ trợ"
Nếu Nhân viên không tái ký hợp đồng có cần viết đơn nghỉ việc không?,"Nhân viên cần thông báo về việc không tái ký HĐLĐ bằng email đến TBP và P.NS, và viết đơn nghỉ việc","**Q: Nếu Nhân viên không tái ký hợp đồng có cần viết đơn nghỉ việc không?**A: Nhân viên cần thông báo về việc không tái ký HĐLĐ bằng email đến TBP và P.NS, và viết đơn nghỉ việc"
"Việc thuyên chuyển nhân viên từ ngành này qua ngành khác hoặc ngược lại công ty có tạo điều kiện, quy trình thực hiện như thế nào","Công ty luôn tạo điều kiện cho nhân viên có nguyện vọng thuyên chuyển
B1-Xác nhận nhu cầu nơi đến, đồng thuận từ nơi đi
B2- Gửi phiếu thông tin nhân sự về HR nơi đến thực hiện phỏng vấn cùng Bộ Phận Tiếp nhận: xác nhận sự phù hợp và mức lương cùng các chính sách kèm theo
B3-3.1-Xác nhận tuyển>>HR thực hiện thao tác chuyển trên HCM >> NV bàn giao công việc cũ và tiếp nhận công việc mới>>Hội nhập (nếu cần)
3.2- Xác nhận không phù hợp >>phản hồi  thông tin đến nhân viên và các nhân sự liên quan.","**Q: Việc thuyên chuyển nhân viên từ ngành này qua ngành khác hoặc ngược lại công ty có tạo điều kiện, quy trình thực hiện như thế nào**A: Công ty luôn tạo điều kiện cho nhân viên có nguyện vọng thuyên chuyển
B1-Xác nhận nhu cầu nơi đến, đồng thuận từ nơi đi
B2- Gửi phiếu thông tin nhân sự về HR nơi đến thực hiện phỏng vấn cùng Bộ Phận Tiếp nhận: xác nhận sự phù hợp và mức lương cùng các chính sách kèm theo
B3-3.1-Xác nhận tuyển>>HR thực hiện thao tác chuyển trên HCM >> NV bàn giao công việc cũ và tiếp nhận công việc mới>>Hội nhập (nếu cần)
3.2- Xác nhận không phù hợp >>phản hồi  thông tin đến nhân viên và các nhân sự liên quan."
"Giải đáp, thắc mắc về lương của nhân viên sau mỗi lần nhận lương (nếu có) 
ví dụ: sao lương tháng này bị trừ tiền, tiền đó là tiền gì, làm đủ công sao nhận lương ít hơn tháng rồi …..",Anh Chị vui lòng liên hệ C & B phụ trách tính lương của ngành để được giải đáp thắc mắc,"**Q: Giải đáp, thắc mắc về lương của nhân viên sau mỗi lần nhận lương (nếu có) 
ví dụ: sao lương tháng này bị trừ tiền, tiền đó là tiền gì, làm đủ công sao nhận lương ít hơn tháng rồi …..**A: Anh Chị vui lòng liên hệ C & B phụ trách tính lương của ngành để được giải đáp thắc mắc"
Nguyên tắc tính thưởng như thế nào,Tính thưởng dựa vào trọng số OKR đạt được và số tháng tính thưởng dựa vào kết quả kinh doanh do HĐQT thông báo,**Q: Nguyên tắc tính thưởng như thế nào**A: Tính thưởng dựa vào trọng số OKR đạt được và số tháng tính thưởng dựa vào kết quả kinh doanh do HĐQT thông báo
Cách tính mức lương làm căn cứ tính thưởng,Mức lương làm căn cứ tính thưởng ( lấy lương tháng 13) là tổng số lương của 12 tháng làm việc thực tế trong năm chia 12,**Q: Cách tính mức lương làm căn cứ tính thưởng**A: Mức lương làm căn cứ tính thưởng ( lấy lương tháng 13) là tổng số lương của 12 tháng làm việc thực tế trong năm chia 12
Lương tháng 13 tính như thế nào,Lương tháng 13 là tổng số lương của 12 tháng làm việc thực tế trong năm chia 12,**Q: Lương tháng 13 tính như thế nào**A: Lương tháng 13 là tổng số lương của 12 tháng làm việc thực tế trong năm chia 12
Tại sao tiền thuế bị trừ nhiều?,Công ty thực hiện đúng các qui định của thuế về việc trích đóng thuế TNCN dựa vào biểu thuế lũy tiến,**Q: Tại sao tiền thuế bị trừ nhiều?**A: Công ty thực hiện đúng các qui định của thuế về việc trích đóng thuế TNCN dựa vào biểu thuế lũy tiến
Tại sao có chấm công mà bảng công không hiển thị dữ liệu?,"1. NV check lại xem đã đăng ký ca/gán ca hay chưa
2. Nếu đã được đăng ký ca/gán ca mà không hiển thị dữ liệu chấm công, vui lòng liên hệ LM để xác nhận công.","**Q: Tại sao có chấm công mà bảng công không hiển thị dữ liệu?**A: 1. NV check lại xem đã đăng ký ca/gán ca hay chưa
2. Nếu đã được đăng ký ca/gán ca mà không hiển thị dữ liệu chấm công, vui lòng liên hệ LM để xác nhận công."
"Nhân viên có đi làm ngày lễ, Tết thì chấm công thế nào?","Hệ thống đã tự động chạy HL cho những ngày lễ, Tết. Nếu NV có đi làm những ngày này theo yêu cầu công việc do LM xác nhận, LM chấm tăng ca theo luật qui định","**Q: Nhân viên có đi làm ngày lễ, Tết thì chấm công thế nào?**A: Hệ thống đã tự động chạy HL cho những ngày lễ, Tết. Nếu NV có đi làm những ngày này theo yêu cầu công việc do LM xác nhận, LM chấm tăng ca theo luật qui định"
Làm sao để chấm công những ngày chưa có mã nhân viên?,Nhân viên liên hệ quản lý để xác nhận công cho những ngày chưa có mã Nhân viên,**Q: Làm sao để chấm công những ngày chưa có mã nhân viên?**A: Nhân viên liên hệ quản lý để xác nhận công cho những ngày chưa có mã Nhân viên
Công ty có tăng lương định kỳ hàng năm không?,"Hằng năm, căn cứ vào số liệu khảo sát lương thị trường và kết quả kinh doanh, công ty sẽ điều chỉnh lương cho nhân viên","**Q: Công ty có tăng lương định kỳ hàng năm không?**A: Hằng năm, căn cứ vào số liệu khảo sát lương thị trường và kết quả kinh doanh, công ty sẽ điều chỉnh lương cho nhân viên"
Thời gian chi lương tháng 13 ?,Sẽ có thông báo đến tất cả nhân viên về ngày chi lương tháng 13,**Q: Thời gian chi lương tháng 13 ?**A: Sẽ có thông báo đến tất cả nhân viên về ngày chi lương tháng 13
Thời gian nào hoàn thuế thu nhập cá nhân?,Vào tháng 3 hàng năm,**Q: Thời gian nào hoàn thuế thu nhập cá nhân?**A: Vào tháng 3 hàng năm
Tái ký HDLD có review lương không?,TBP sẽ xem xét mức lương của nhân viên tại thời điểm tái ký HĐLĐ để có đề xuất phù hợp,**Q: Tái ký HDLD có review lương không?**A: TBP sẽ xem xét mức lương của nhân viên tại thời điểm tái ký HĐLĐ để có đề xuất phù hợp
Nghỉ WJL hưởng bao nhiêu phần trăm lương,WJL theo chính sách hưởng 70% lương,**Q: Nghỉ WJL hưởng bao nhiêu phần trăm lương**A: WJL theo chính sách hưởng 70% lương
NHân viên tham gia BHXH từ khi nào? Công ty đóng BHXH cho người LĐ như thế nào? Và NLĐ trích đóng bao nhiêu trên mức lương ký HĐLĐ,"Nhân viên được tham gia BHXH từ tháng nhận việc
Công ty đóng BHXH cho NLĐ trên mức lương ký HĐLĐ.
Và đóng theo qui định của luật BHXH Công ty đóng 21.5%, và NLĐ trích lương đóng 10.5%","**Q: NHân viên tham gia BHXH từ khi nào? Công ty đóng BHXH cho người LĐ như thế nào? Và NLĐ trích đóng bao nhiêu trên mức lương ký HĐLĐ**A: Nhân viên được tham gia BHXH từ tháng nhận việc
Công ty đóng BHXH cho NLĐ trên mức lương ký HĐLĐ.
Và đóng theo qui định của luật BHXH Công ty đóng 21.5%, và NLĐ trích lương đóng 10.5%"
Thời gian làm việc?Tính tăng ca như thế nào? Có theo luật lao động không?,"Thời gian làm việc theo qui định của luật lao động, 8h/1 ngày.
Tính tăng ca theo qui định của luật lao động.","**Q: Thời gian làm việc?Tính tăng ca như thế nào? Có theo luật lao động không?**A: Thời gian làm việc theo qui định của luật lao động, 8h/1 ngày.
Tính tăng ca theo qui định của luật lao động."
Nhân viên làm việc trong môi trường trại chăn nuôi thời gian nào thì được tính tăng ca ngoài giờ 8h,"Nhân viên làm việc đủ 8h/ngày, ngoài thời gian đó thì được tính tăng ca, quy đổi theo hệ số tăng ca và sắp xếp nghỉ bù hợp lý
- Giờ tăng ca trưa cho nhóm trực heo đẻ không quá 1h/ngày
- Nhóm trực heo đẻ: Khoán trọn gói 4,5 triệu/tháng (mức khoán tăng ca theo tháng này đã bao gồm ngày nghỉ/CN, Riêng ngày Lễ được tính theo Luật hiện hành)
- Các trường hợp còn lại: Tăng ca chỉ áp dụng cho thời gian xuất bán heo và xử lý các sự cố bất thường ở Trại","**Q: Nhân viên làm việc trong môi trường trại chăn nuôi thời gian nào thì được tính tăng ca ngoài giờ 8h**A: Nhân viên làm việc đủ 8h/ngày, ngoài thời gian đó thì được tính tăng ca, quy đổi theo hệ số tăng ca và sắp xếp nghỉ bù hợp lý
- Giờ tăng ca trưa cho nhóm trực heo đẻ không quá 1h/ngày
- Nhóm trực heo đẻ: Khoán trọn gói 4,5 triệu/tháng (mức khoán tăng ca theo tháng này đã bao gồm ngày nghỉ/CN, Riêng ngày Lễ được tính theo Luật hiện hành)
- Các trường hợp còn lại: Tăng ca chỉ áp dụng cho thời gian xuất bán heo và xử lý các sự cố bất thường ở Trại"
Chế độ phúc lợi (bảo hiểm người thân) có tính phí cho nhân viên không,"Bảo hiểm người thân (Vợ/chồng/con) không có tính phí cho nhân viên, tuy nhiên phí bảo hiểm được cộng vào thu nhập để tính thuế TNCN","**Q: Chế độ phúc lợi (bảo hiểm người thân) có tính phí cho nhân viên không**A: Bảo hiểm người thân (Vợ/chồng/con) không có tính phí cho nhân viên, tuy nhiên phí bảo hiểm được cộng vào thu nhập để tính thuế TNCN"
"Sau khi nghỉ việc, Phép năm còn lại có được thanh toán không, và được thanh toán như thế nào?",Phép năm còn lại chưa nghỉ sẽ được thanh toán vào thanh toán thôi việc,"**Q: Sau khi nghỉ việc, Phép năm còn lại có được thanh toán không, và được thanh toán như thế nào?**A: Phép năm còn lại chưa nghỉ sẽ được thanh toán vào thanh toán thôi việc"
NV cần liên hệ với các bộ phận nào để hoàn tất biên bản bàn giao thôi việc?,"Sau khi bàn giao công việc với bộ phận, NV liên hệ bộ phận IT, KT để bàn giao và ký xác nhận. C&B sẽ nhận biên bản bàn giao có đầy đủ chữ ký của các bên để thực hiện các công việc liên quan đến chế độ cho NV. PE sẽ hỗ trợ nhân viên các thủ tục bàn giao","**Q: NV cần liên hệ với các bộ phận nào để hoàn tất biên bản bàn giao thôi việc?**A: Sau khi bàn giao công việc với bộ phận, NV liên hệ bộ phận IT, KT để bàn giao và ký xác nhận. C&B sẽ nhận biên bản bàn giao có đầy đủ chữ ký của các bên để thực hiện các công việc liên quan đến chế độ cho NV. PE sẽ hỗ trợ nhân viên các thủ tục bàn giao"
Khi nào thì nhận được quá trình đóng của BHXH và Quyết định nghỉ việc,"Ngày 15 của tháng kế tiếp sẽ nhận được quá trình đóng BHXH, quyết định nghỉ việc","**Q: Khi nào thì nhận được quá trình đóng của BHXH và Quyết định nghỉ việc**A: Ngày 15 của tháng kế tiếp sẽ nhận được quá trình đóng BHXH, quyết định nghỉ việc"
"Hướng dẫn thao tác thôi việc, thủ tục trên HCM ","Nhân viên thông báo thôi việc bằng email và điền form "" thông báo thôi việc"" gửi cho TBP và Nhân sự của chi nhánh. Sau khi nhân sự xác nhận các thông tin, nguyện vọng xin nghỉ việc -> nhân viên tiến hành bàn giao, và xin nghỉ việc trên HCM
Vào HCM-> Me->Resignation-> điền các thông tin về ngày nghỉ, cách nghỉ ( tự xin nghỉ hay công ty cho nghỉ ) và lý do nghỉ-> Submit để hoàn thành","**Q: Hướng dẫn thao tác thôi việc, thủ tục trên HCM **A: Nhân viên thông báo thôi việc bằng email và điền form "" thông báo thôi việc"" gửi cho TBP và Nhân sự của chi nhánh. Sau khi nhân sự xác nhận các thông tin, nguyện vọng xin nghỉ việc -> nhân viên tiến hành bàn giao, và xin nghỉ việc trên HCM
Vào HCM-> Me->Resignation-> điền các thông tin về ngày nghỉ, cách nghỉ ( tự xin nghỉ hay công ty cho nghỉ ) và lý do nghỉ-> Submit để hoàn thành"
Cách quản lý làm thôi việc cho nhân viên trên phần mềm HCM?,"Vào HCM-> my team->search nhân viên->Resignation-> điền các thông tin về ngày nghỉ, cách nghỉ ( tự xin nghỉ hay công ty cho nghỉ ) và lý do nghỉ-> Submit để hoàn thành","**Q: Cách quản lý làm thôi việc cho nhân viên trên phần mềm HCM?**A: Vào HCM-> my team->search nhân viên->Resignation-> điền các thông tin về ngày nghỉ, cách nghỉ ( tự xin nghỉ hay công ty cho nghỉ ) và lý do nghỉ-> Submit để hoàn thành"
Khi Nhân viên nghỉ việc tại Công ty cần báo trước bao nhiêu ngày theo từng loại HĐLĐ?,"Căn cứ khoản 1 Điều 35 Bộ luật Lao động 2019
Người lao động có quyền đơn phương chấm dứt hợp đồng lao động nhưng phải báo trước cho người sử dụng lao động như sau:
a) Ít nhất 45 ngày nếu làm việc theo hợp đồng lao động không xác định thời hạn;
b) Ít nhất 30 ngày nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng;
c) Ít nhất 03 ngày làm việc nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng;","**Q: Khi Nhân viên nghỉ việc tại Công ty cần báo trước bao nhiêu ngày theo từng loại HĐLĐ?**A: Căn cứ khoản 1 Điều 35 Bộ luật Lao động 2019
Người lao động có quyền đơn phương chấm dứt hợp đồng lao động nhưng phải báo trước cho người sử dụng lao động như sau:
a) Ít nhất 45 ngày nếu làm việc theo hợp đồng lao động không xác định thời hạn;
b) Ít nhất 30 ngày nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng;
c) Ít nhất 03 ngày làm việc nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng;"
Trường hợp nhân viên hết hạn HĐLĐ không muốn ký tiếp thì cần báo trước cho công ty bao lâu và cần những giấy tờ gì?,"Nhân viên cần báo trước 30 ngày kể từ ngày hết hạn HĐ, Nhân viên xác nhận qua email để tiến hành các thủ tục tiếp theo","**Q: Trường hợp nhân viên hết hạn HĐLĐ không muốn ký tiếp thì cần báo trước cho công ty bao lâu và cần những giấy tờ gì?**A: Nhân viên cần báo trước 30 ngày kể từ ngày hết hạn HĐ, Nhân viên xác nhận qua email để tiến hành các thủ tục tiếp theo"
"Khi nghỉ việc, có được nhận trợ cấp thôi việc không?",Nhân viên vô làm trước ngày 01/11/2022 sẽ được nhận trợ cấp thôi việc ( Thời gian thử việc không đóng BHXH),"**Q: Khi nghỉ việc, có được nhận trợ cấp thôi việc không?**A: Nhân viên vô làm trước ngày 01/11/2022 sẽ được nhận trợ cấp thôi việc ( Thời gian thử việc không đóng BHXH)"
"Ngoài các khóa đào tạo của công ty, nhân viên đăng ký các khóa học bên ngoài để nâng cao kỹ năng có được hỗ trợ kinh phí không?","Công ty sẽ tài trợ kinh phí tùy vào mục đích đào tạo, chương trình đào tạo, học phí lớp học... 
Tuy nhiên, GreenFeed có thể yêu cầu nhân viên ký cam kết đào tạo trước khi tham gia các khóa đào tạo. Cam kết này liệt kê chi tiết những chi phí đào tạo, quyền và nghĩa vụ của đôi bên trong trường hợp chấm dứt HĐLĐ.","**Q: Ngoài các khóa đào tạo của công ty, nhân viên đăng ký các khóa học bên ngoài để nâng cao kỹ năng có được hỗ trợ kinh phí không?**A: Công ty sẽ tài trợ kinh phí tùy vào mục đích đào tạo, chương trình đào tạo, học phí lớp học... 
Tuy nhiên, GreenFeed có thể yêu cầu nhân viên ký cam kết đào tạo trước khi tham gia các khóa đào tạo. Cam kết này liệt kê chi tiết những chi phí đào tạo, quyền và nghĩa vụ của đôi bên trong trường hợp chấm dứt HĐLĐ."
"Tham gia các khóa đào tạo, huấn luyện do công ty tổ chức ngoài giờ hành chính có được tính tăng ca/ hưởng phụ cấp gì không?","Theo chính sách lương -phúc lợi Nhân viên tham gia các lớp huấn luyện, đào tạo, các sự kiện do công ty tổ chức ngoài giờ làm việc hành chính, không tính tăng ca mà tính dưới dạng phụ cấp bằng 100% tiền lương, tiền công lương ca ngày","**Q: Tham gia các khóa đào tạo, huấn luyện do công ty tổ chức ngoài giờ hành chính có được tính tăng ca/ hưởng phụ cấp gì không?**A: Theo chính sách lương -phúc lợi Nhân viên tham gia các lớp huấn luyện, đào tạo, các sự kiện do công ty tổ chức ngoài giờ làm việc hành chính, không tính tăng ca mà tính dưới dạng phụ cấp bằng 100% tiền lương, tiền công lương ca ngày"
Để giúp NV học tập và phát triển thì Tập đoàn có triển khai những chương trình đào tạo nào?,"Công ty tổ chức các khóa đào tạo kỹ năng nội bộ/bên ngoài định kỳ hằng năm. Ngoài ra, còn có hệ thống e-learning giúp NV có cơ hội học tập nâng cao năng lực của mình ở mọi lúc, mọi nơi trên mọi thiết bị","**Q: Để giúp NV học tập và phát triển thì Tập đoàn có triển khai những chương trình đào tạo nào?**A: Công ty tổ chức các khóa đào tạo kỹ năng nội bộ/bên ngoài định kỳ hằng năm. Ngoài ra, còn có hệ thống e-learning giúp NV có cơ hội học tập nâng cao năng lực của mình ở mọi lúc, mọi nơi trên mọi thiết bị"
Làm thế nào để điều chỉnh chức danh trên hệ thống email sau khi được promote?,"HR sẽ tổng hợp các chức danh được promote gửi email cho IT thực hiện, Anh Chị liên hệ HR để được hỗ trợ","**Q: Làm thế nào để điều chỉnh chức danh trên hệ thống email sau khi được promote?**A: HR sẽ tổng hợp các chức danh được promote gửi email cho IT thực hiện, Anh Chị liên hệ HR để được hỗ trợ"
"Trong trường hợp thuyên chuyển giữa các BU, nếu đã làm việc trên 01 năm thì BU nào sẽ chi trả trợ cấp thôi việc cho NV?",BU hiện tại NV đang làm việc sẽ chi trợ cấp thôi việc cho nhân viên,"**Q: Trong trường hợp thuyên chuyển giữa các BU, nếu đã làm việc trên 01 năm thì BU nào sẽ chi trả trợ cấp thôi việc cho NV?**A: BU hiện tại NV đang làm việc sẽ chi trợ cấp thôi việc cho nhân viên"
Nhân viên không làm việc tại TP.HCM thì làm sao để ký HĐLĐ?,"Nhân viên gửi thông tin địa chỉ + SĐT nhận thư cho C&B. C&B sẽ gửi 02 bản HĐLĐ về cho NV ký. Sau khi ký, NV gửi lại 01 bản về VP cty cho C&B","**Q: Nhân viên không làm việc tại TP.HCM thì làm sao để ký HĐLĐ?**A: Nhân viên gửi thông tin địa chỉ + SĐT nhận thư cho C&B. C&B sẽ gửi 02 bản HĐLĐ về cho NV ký. Sau khi ký, NV gửi lại 01 bản về VP cty cho C&B"
Vì sao không thấy các nhân viên trong nhóm của tui trên OKR Webtool,"Nhân viên phải đăng nhập lần đầu trên OKR webtool thì Line manager mới thấy được nhóm có nhân viên đó.
Đối với nhân viên đổi Line manager thì phải log out sau đó login","**Q: Vì sao không thấy các nhân viên trong nhóm của tui trên OKR Webtool**A: Nhân viên phải đăng nhập lần đầu trên OKR webtool thì Line manager mới thấy được nhóm có nhân viên đó.
Đối với nhân viên đổi Line manager thì phải log out sau đó login"
Việc mở rộng kiêm nhiệm nội bộ BU hoặc ngoài BU quy trình thực hiện như thế nào,"TBP Xác nhận sự phù hợp của nhân viên-> nguyện vọng của nhân viên muốn mở rộng công việc-> Xác nhận qua email với Ngành dọc và GDĐH Chi nhánh, HR thực hiện trên HCM ( bổ sung thêm phụ cấp nếu có )","**Q: Việc mở rộng kiêm nhiệm nội bộ BU hoặc ngoài BU quy trình thực hiện như thế nào**A: TBP Xác nhận sự phù hợp của nhân viên-> nguyện vọng của nhân viên muốn mở rộng công việc-> Xác nhận qua email với Ngành dọc và GDĐH Chi nhánh, HR thực hiện trên HCM ( bổ sung thêm phụ cấp nếu có )"
Quên mật khẩu đăng nhập vào phần mềm HCM và Payrol Timesheet phải làm gì?,"Vào HCM, đánh mã Nhân viên, và bấm quên mật khẩu-> submit-> hệ thống sẽ gửi đường link đến email của nhân viên, nhân viên vào link trên email để thay đổi mật khẩu
Cách làm tương tự đối với TSPR","**Q: Quên mật khẩu đăng nhập vào phần mềm HCM và Payrol Timesheet phải làm gì?**A: Vào HCM, đánh mã Nhân viên, và bấm quên mật khẩu-> submit-> hệ thống sẽ gửi đường link đến email của nhân viên, nhân viên vào link trên email để thay đổi mật khẩu
Cách làm tương tự đối với TSPR"
Cách quản lý báo vắng cho nhân viên trên phần mềm HCM?,Vào HCM-> my team->search nhân viên->chọn … bên góc phải-> add absence->chọn loại báo vắng phù hợp -> Submit để hoàn thành,**Q: Cách quản lý báo vắng cho nhân viên trên phần mềm HCM?**A: Vào HCM-> my team->search nhân viên->chọn … bên góc phải-> add absence->chọn loại báo vắng phù hợp -> Submit để hoàn thành
"Cách sử dụng, cách thiết lập OKRs trên phần mềm OKRs webtool?","Vào Link OKR bằng mã nhân viên, password đăng nhập là Password vào TSPR ->xem hướng dẫn các thiết lập ORKs trên link OKR","**Q: Cách sử dụng, cách thiết lập OKRs trên phần mềm OKRs webtool?**A: Vào Link OKR bằng mã nhân viên, password đăng nhập là Password vào TSPR ->xem hướng dẫn các thiết lập ORKs trên link OKR"
Tại sao hệ thống Timesheet hay bị lỗi khi chấm công vào cuối tháng,Anh Chị liên hệ PE Khu vực để được hỗ trợ,**Q: Tại sao hệ thống Timesheet hay bị lỗi khi chấm công vào cuối tháng**A: Anh Chị liên hệ PE Khu vực để được hỗ trợ
